name,atom,M0
CHL,C1,-0.031691
CHL,H11,0.00938
CHL,H12,0.00938
CHL,C2,-0.08813
CHL,H21,0.044625
CHL,H22,0.044625
CHL,C3,0.293553
CHL,H31,0.029611
CHL,C4,-0.162218
CHL,H41,0.090036
CHL,H42,0.090036
CHL,C5,-0.139495
CHL,C6,-0.20819
CHL,H61,0.122828
CHL,C7,-0.069897
CHL,H71,0.047919
CHL,H72,0.047919
CHL,C8,-0.01139
CHL,H81,0.072891
CHL,C9,0.019609
CHL,H91,0.029289
CHL,C10,0.079112
CHL,C11,-0.066365
CHL,H111,0.030085
CHL,H112,0.030085
CHL,C12,-0.064973
CHL,H121,0.010352
CHL,H122,0.010352
CHL,C13,0.057407
CHL,C14,0.00583
CHL,H141,0.031557
CHL,C15,-0.101977
CHL,H151,0.026458
CHL,H152,0.026458
CHL,C16,-0.092064
CHL,H161,0.033335
CHL,H162,0.033335
CHL,C17,0.032398
CHL,H171,0.01659
CHL,C18,-0.115049
CHL,H181,0.024541
CHL,H182,0.024541
CHL,H183,0.024541
CHL,C19,-0.108064
CHL,H191,0.03399
CHL,H192,0.03399
CHL,H193,0.03399
CHL,C20,0.044268
CHL,H201,0.020951
CHL,C21,-0.154621
CHL,H211,0.036274
CHL,H212,0.036274
CHL,H213,0.036274
CHL,C22,-0.039033
CHL,H221,0.008359
CHL,H222,0.008359
CHL,C23,-0.02846
CHL,H231,0.015742
CHL,H232,0.015742
CHL,C24,-0.125596
CHL,H241,0.04011
CHL,H242,0.04011
CHL,C25,0.212446
CHL,H251,-0.002466
CHL,C26,-0.257776
CHL,H261,0.057982
CHL,H262,0.057982
CHL,H263,0.057982
CHL,C27,-0.257776
CHL,H271,0.057982
CHL,H272,0.057982
CHL,H273,0.057982
CHL,O1,-0.703022
CHL,HO1,0.414804
LA,H12T,0.025809
LA,C112,-0.118534
LA,H12R,0.025809
LA,H12S,0.025809
LA,C111,0.02332
LA,H11R,0.008276
LA,H11S,0.008276
LA,C110,-0.019575
LA,H10R,0.015163
LA,H10S,0.015163
LA,C19,-0.021975
LA,H9R,0.005869
LA,H9S,0.005869
LA,C18,-0.020879
LA,H8R,0.010385
LA,H8S,0.010385
LA,C17,-0.019279
LA,H7R,0.011207
LA,H7S,0.011207
LA,C16,-0.019631
LA,H6R,0.010236
LA,H6S,0.010236
LA,C15,-0.015735
LA,H5R,0.009552
LA,H5S,0.009552
LA,C14,-0.024078
LA,H4R,0.02058
LA,H4S,0.02058
LA,C13,0.00151
LA,H3R,0.019108
LA,H3S,0.019108
LA,C12,-0.172159
LA,H2R,0.054418
LA,H2S,0.054418
MY,H14T,0.025511
MY,C114,-0.111713
MY,H14R,0.025511
MY,H14S,0.025511
MY,C113,0.017463
MY,H13R,0.007531
MY,H13S,0.007531
MY,C112,-0.028094
MY,H12R,0.017208
MY,H12S,0.017208
MY,C111,-0.031787
MY,H11R,0.012677
MY,H11S,0.012677
MY,C110,-0.021025
MY,H10R,0.010037
MY,H10S,0.010037
MY,C19,-0.014653
MY,H9R,0.010172
MY,H9S,0.010172
MY,C18,-0.026451
MY,H8R,0.011241
MY,H8S,0.011241
MY,C17,-0.004386
MY,H7R,0.006833
MY,H7S,0.006833
MY,C16,-0.027812
MY,H6R,0.011511
MY,H6S,0.011511
MY,C15,-0.016521
MY,H5R,0.010573
MY,H5S,0.010573
MY,C14,-0.026954
MY,H4R,0.020431
MY,H4S,0.020431
MY,C13,-0.002434
MY,H3R,0.018859
MY,H3S,0.018859
MY,C12,-0.1642
MY,H2R,0.053944
MY,H2S,0.053944
OL,C12,-0.143418
OL,H2R,0.04286
OL,H2S,0.04286
OL,C13,0.001619
OL,H3R,0.019529
OL,H3S,0.019529
OL,C14,-0.02296
OL,H4R,0.018134
OL,H4S,0.018134
OL,C15,-0.016692
OL,H5R,0.00869
OL,H5S,0.00869
OL,C16,-0.023789
OL,H6R,0.009266
OL,H6S,0.009266
OL,C17,-0.017495
OL,H7R,0.019598
OL,H7S,0.019598
OL,C18,0.031775
OL,H8R,0.032685
OL,H8S,0.032685
OL,C19,-0.244228
OL,H9R,0.131512
OL,C110,-0.239284
OL,H10R,0.126878
OL,C111,0.029059
OL,H11R,0.033531
OL,H11S,0.033531
OL,C112,-0.026353
OL,H12R,0.019717
OL,H12S,0.019717
OL,C113,-0.018257
OL,H13R,0.0138
OL,H13S,0.0138
OL,C114,-0.024849
OL,H14R,0.008572
OL,H14S,0.008572
OL,C115,-0.023247
OL,H15R,0.010403
OL,H15S,0.010403
OL,C116,-0.012488
OL,H16R,0.013660
OL,H16S,0.013660
OL,C117,0.008684
OL,H17R,0.010026
OL,H17S,0.010026
OL,C118,-0.11729
OL,H18R,0.026627
OL,H18S,0.026627
OL,H18T,0.026627
PA,C116,-0.125447
