name,atom,M0
AR,C116,0.039100
AR,H16R,0.028848
AR,H16S,0.028848
AR,C115,-0.244149
AR,H15R,0.132793
AR,C114,-0.224769
AR,H14R,0.129616
AR,C113,0.058197
AR,H13R,0.061350
AR,H13S,0.061350
AR,C112,-0.220164
AR,H12R,0.131986
AR,C111,-0.228704
AR,H11R,0.131341
AR,C110,0.095406
AR,H10R,0.051140
AR,H10S,0.051140
AR,C19,-0.228694
AR,H9R,0.132167
AR,C18,-0.228527
AR,H8R,0.134735
AR,C17,0.055784
AR,H7R,0.062775
AR,H7S,0.062775
AR,C16,-0.206786
AR,H6R,0.129858
AR,C15,-0.267890
AR,H5R,0.143577
AR,C14,0.031382
AR,H4R,0.038708
AR,H4S,0.038708
AR,C13,0.025626
AR,H3R,0.025117
AR,H3S,0.025117
AR,C12,-0.123934
AR,H2R,0.024534
AR,H2S,0.024534
AR,C117,-0.028398
AR,H17R,0.019581
AR,H17S,0.019581
AR,C118,-0.019772
AR,H18R,0.014218
AR,H18S,0.014218
AR,C119,0.024958
AR,H19R,0.005426
AR,H19S,0.005426
AR,C120,-0.109302
AR,H20R,0.023723
AR,H20S,0.023723
AR,H20T,0.023723
CHL,C1,-0.031691
CHL,H11,0.009380
CHL,H12,0.009380
CHL,C2,-0.088130
CHL,H21,0.044625
CHL,H22,0.044625
CHL,C3,0.293553
CHL,H31,0.029611
CHL,C4,-0.162218
CHL,H41,0.090036
CHL,H42,0.090036
CHL,C5,-0.139495
CHL,C6,-0.208190
CHL,H61,0.122828
CHL,C7,-0.069897
CHL,H71,0.047919
CHL,H72,0.047919
CHL,C8,-0.011390
CHL,H81,0.072891
CHL,C9,0.019609
CHL,H91,0.029289
CHL,C10,0.079112
CHL,C11,-0.066365
CHL,H111,0.030085
CHL,H112,0.030085
CHL,C12,-0.064973
CHL,H121,0.010352
CHL,H122,0.010352
CHL,C13,0.057407
CHL,C14,0.005830
CHL,H141,0.031557
CHL,C15,-0.101977
CHL,H151,0.026458
CHL,H152,0.026458
CHL,C16,-0.092064
CHL,H161,0.033335
CHL,H162,0.033335
CHL,C17,0.032398
CHL,H171,0.016590
CHL,C18,-0.115049
CHL,H181,0.024541
CHL,H182,0.024541
CHL,H183,0.024541
CHL,C19,-0.108064
CHL,H191,0.033990
CHL,H192,0.033990
CHL,H193,0.033990
CHL,C20,0.044268
CHL,H201,0.020951
CHL,C21,-0.154621
CHL,H211,0.036274
CHL,H212,0.036274
CHL,H213,0.036274
CHL,C22,-0.039033
CHL,H221,0.008359
CHL,H222,0.008359
CHL,C23,-0.028460
CHL,H231,0.015742
CHL,H232,0.015742
CHL,C24,-0.125596
CHL,H241,0.040110
CHL,H242,0.040110
CHL,C25,0.212446
CHL,H251,-0.002466
CHL,C26,-0.257776
CHL,H261,0.057982
CHL,H262,0.057982
CHL,H263,0.057982
